,window_factor,window_scale,lag_scale,RMSE_vs_medium(%),MAE_vs_medium(%)
AUD-CAD,4.0,1.0,2.0,96.90292267653821,97.72390063781273
AUD-CHF,6.0,0.75,0.5,96.84319405196086,97.75678413585871
AUD-JPY,6.0,0.5,1.0,96.27127643359381,97.41203778182424
AUD-NOK,4.0,0.5,2.0,95.38323536824826,96.94970536604664
AUD-NZD,8.0,0.75,0.5,96.22385259044336,97.34933112396963
AUD-SEK,4.0,0.5,0.5,94.34702747947472,96.70963734890763
AUD-USD,8.0,0.5,0.5,96.71599096346402,97.67798661876074
CAD-CHF,4.0,1.0,2.0,96.29132020779706,97.3269124491111
CAD-JPY,8.0,1.0,1.0,95.82442282623646,97.02679578992013
CAD-NOK,6.0,0.5,1.0,95.01411750259915,96.47824688299107
CAD-SEK,8.0,0.5,0.5,93.71485689625072,96.21613524139643
CHF-JPY,6.0,0.75,0.5,95.74456835321683,97.00218431226334
CHF-NOK,6.0,0.75,2.0,95.64107005254864,96.93425605026546
CHF-SEKCSV,8.0,1.0,2.0,94.65887374335641,96.52266048888411
EUR-AUD,6.0,0.75,1.0,97.15671361844214,97.88259272535805
EUR-CAD,6.0,0.75,1.0,96.953870696626,97.67413109640044
EUR-CHF,6.0,1.0,2.0,96.59941839447207,97.51976642636394
EUR-GBP,4.0,1.0,0.5,96.83118460340421,97.72045859798368
EUR-JPY,6.0,1.0,0.5,95.7253575110033,97.03349453814836
EUR-NOK,6.0,0.5,0.5,95.01533560331785,96.33159764710297
EUR-NZD,6.0,0.5,0.5,96.01285330259233,97.15921226009576
EUR-SEK,6.0,1.0,0.5,93.9072911334378,96.13552317281034
EUR-USD,4.0,0.75,0.5,96.49303521146408,97.63466117840301
GBP-AUD,8.0,0.5,0.5,97.06165745080484,97.85790642511404
GBP-CAD,6.0,0.75,1.0,96.68385287088067,97.49412143696071
GBP-CHF,4.0,1.0,2.0,96.69757677168467,97.54947272009682
GBP-JPY,6.0,0.5,2.0,95.85943476676097,97.08612510853841
GBP-NOK,6.0,1.0,0.5,95.73549516268986,96.82270099681091
GBP-NZD,6.0,0.75,0.5,96.08163284577546,97.116889623455
GBP-SEK,8.0,0.5,0.5,94.36520764086603,96.54509316615328
GBP-USD,4.0,1.0,0.5,96.29448118091294,97.26504741565083
NOK-JPY,8.0,1.0,0.5,94.99902311188374,96.4689287744521
NOK-SEK,4.0,0.75,2.0,94.7330766115697,96.38926147049554
NZD-CAD,4.0,0.5,2.0,95.96431743839891,96.99404960904558
NZD-CHF,6.0,0.5,0.5,96.28825201612875,97.31372787126901
NZD-JPY,8.0,0.75,0.5,95.7748580671514,97.09491638501923
NZD-NOK,4.0,0.5,0.5,95.30640089900352,96.89480602969046
NZD-USD,6.0,0.75,0.5,95.97234188520689,97.12435132322386
USD-CAD,4.0,0.75,2.0,96.7306286149969,97.49350842074413
USD-CHF,4.0,0.75,1.0,96.10799058557275,97.13863293973438
USD-JPY,6.0,0.75,2.0,95.44833786565528,96.80061633333337
USD-NOK,6.0,0.5,0.5,95.03047492085868,96.58340248859254
USD-SEK,8.0,0.5,0.5,94.25693267792846,96.42794577148653
